"","ADHD Medication and Behavioral Treatment for ADHD","ADHD Medication Only","Behavioral Treatment for ADHD Only","Neither ADHD Medication Nor Behavioral Treatment for ADHD",""
"","Weighted %(95% CI)","Weighted %(95% CI)","Weighted %(95% CI)","Weighted %(95% CI)","p"
"Overall","28.2 (26.0, 30.4)","25.5 (22.9, 28.2)","16.2 (14.3, 18.3)","30.1 (27.6, 32.7)",""
"Sex","","","","",""
" Boys","27.6 (24.9, 30.5)","26.6 (23.1, 30.3)","15.4 (13.1, 17.9)","30.4 (27.2, 33.8)","0.44"
" Girls","29.2 (25.6, 33.1)","23.4 (20.2, 26.9)","17.8 (14.4, 21.7)","29.6 (25.6, 33.8)",""
"Age","","","","",""
" 3–5 years","15.7 (8.9, 24.8)","7.9a (3.8, 14.2)","35.8 (24.7, 48.2)","40.6 (29.1, 52.8)","< 0.0001"
" 6–11 years","30.2 (26.7, 33.9)","26.8 (22.5, 31.4)","18.0 (14.9, 21.5)","25.1 (21.1, 29.4)",""
" 12–17 years","27.6 (24.6, 30.7)","25.8 (22.5, 29.3)","13.4 (11.0, 16.1)","33.2 (29.8, 36.6)",""
"Race","","","","",""
" White","28.4 (25.9, 31.1)","25.6 (22.6, 28.8)","15.8 (13.7, 18.1)","30.1 (27.2, 33.3)","0.48"
" Black","28.9 (22.4, 36.1)","24.5 (17.5, 32.6)","14.0 (8.7, 21.0)","32.6 (25.4, 40.4)",""
" American Indian/Alaska Native","40.1a (21.1, 61.6)","21.0a (8.5, 39.3)","8.9a (2.4, 21.3)","30.0a (13.5, 51.5)",""
" Asian","25.9a (11.5, 45.5)","18.7a (5.3, 41.3)","18.5a (5.5, 40.3)","36.8a (19.5, 57.1)",""
" Native Hawaiian/Pacific Islander","b","b","b","b",""
" Two or more races","25.2 (19.4, 31.7)","26.9 (20.0, 34.8)","23.9 (17.0, 32.0)","24.0 (18.2, 30.7)",""
"Ethnicity","","","","",""
" Hispanic/Latino","22.8 (17.4, 28.9)","20.8 (13.0, 30.6)","19.1 (14.2, 24.8)","37.3 (29.5, 45.6)","0.02"
" Non-Hispanic/Latino","29.6 (27.3, 32.0)","26.7 (24.3, 29.2)","15.5 (13.4, 17.7)","28.2 (25.8, 30.7)",""
"Primary language in home","","","","",""
" English","28.9 (26.6, 31.2)","26.2 (23.6, 29.0)","15.9 (13.9, 18.0)","29.0 (26.5, 31.6)","0.001"
" Other language","15.0 (8.4, 23.9)","8.9a (2.8, 19.8)","24.2 (13.7, 37.7)","52.0 (36.8, 66.8)",""
"Highest education in household","","","","",""
" Less than high school","20.9 (11.7, 32.9)","28.0a (12.3, 49.2)","7.7a (2.9, 15.9)","43.3a (27.2, 60.5)","0.007"
" 12 years, high school graduate","25.4 (20.2, 31.1)","29.8 (22.8, 37.5)","11.9 (7.9, 17.1)","32.9 (26.6, 39.6)",""
" More than high school","29.7 (27.3, 32.2)","23.9 (21.6, 26.3)","18.4 (16.1, 20.8)","28.0 (25.5, 30.7)",""
"Family Income Relative to FPLc","","","","",""
" <100% of FPL","25.1 (19.4, 31.9)","27.2 (19.6, 36.5)","14.4 (10.3, 19.9)","33.2 (26.2, 41.0)","0.73"
" 100–199% of FPL","27.1 (22.1, 32.7)","24.3 (19.0, 30.4)","17.8 (13.6, 23.1)","30.8 (25.0, 37.3)",""
" ≥200% of FPL","29.7 (27.2, 32.4)","25.3 (22.7, 28.0)","16.3 (13.8, 19.1)","28.7 (25.8, 31.8)",""
"Type of health insurance","","","","",""
" Any","28.8 (26.5, 31.1)","25.8 (23.2, 28.6)","16.2 (14.3, 18.3)","29.2 (26.7, 31.9)",""
" Public only","29.1 (25.1, 33.4)","25.7 (20.3, 31.6)","15.9 (13.0, 19.1)","29.3 (25.0, 34.0)","0.18"
" Private only","27.3 (24.5, 30.1)","26.0 (23.3, 28.8)","17.0 (14.2, 20.1)","29.8 (26.5, 33.2)",""
" Public and private","37.8 (29.6, 46.5)","25.8 (18.4, 34.3)","11.9 (7.9, 17.1)","24.5 (17.1, 33.3)",""
" None","18.3a (8.3, 32.9)","19.2 (9.3, 33.0)","18.5a (6.8, 36.8)","44.0a (28.5, 60.3)",""
"Region","","","","",""
" Northeast","31.6 (27.0, 36.5)","19.0 (15.4, 23.0)","17.4 (13.9, 21.3)","32.0 (26.9, 37.6)","0.0001"
" Midwest","32.7 (28.5, 37.2)","24.1 (20.5, 27.9)","14.6 (11.5, 18.1)","28.6 (24.2, 33.3)",""
" South","25.1 (21.5, 29.0)","31.9 (27.0, 37.2)","14.5 (11.2, 18.3)","28.5 (24.0, 33.2)",""
" West","27.4 (23.0, 32.1)","16.9 (13.5, 20.9)","21.5 (17.1, 26.4)","34.2 (29.4, 39.3)",""
"Urbanicityd","","","","",""
" Rural","26.8 (21.2, 33.0)","31.1 (22.8, 40.3)","11.6 (8.6, 15.1)","30.6 (23.5, 38.4)","0.09"
" Suburban","28.3 (25.5, 31.3)","26.0 (22.6, 29.6)","15.9 (13.3, 18.7)","29.8 (26.6, 33.2)",""
" Urban","28.5 (24.2, 33.2)","21.5 (17.7, 25.8)","19.5 (15.5, 23.9)","30.5 (25.7, 35.6)",""
"ADHD severity","","","","",""
" Mild","15.3 (12.6, 18.2)","24.5 (20.4, 28.9)","14.1 (11.6, 17.0)","46.1 (41.7, 50.6)","< 0.0001"
" Moderate","32.5 (29.3, 35.7)","27.3 (24.0, 30.8)","19.5 (16.2, 23.1)","20.8 (17.6, 24.3)",""
" Severe","56.1 (46.5, 65.4)","21.8 (12.8, 33.3)","11.8 (7.9, 16.8)","10.3 (5.8, 16.6)",""
"Co-occurring disorder","","","","",""
" Any current MBDD","33.1 (30.5, 35.9)","22.0 (19.1, 25.1)","18.0 (15.7, 20.5)","26.8 (24.0, 29.8)","< 0.0001"
" Any current MEB","36.8 (33.6, 40.0)","21.4 (18.2, 25.0)","19.5 (16.8, 22.4)","22.3 (19.5, 25.3)","< 0.0001"
" Any current DLLD","33.2 (29.8, 36.6)","19.2 (16.5, 22.1)","18.8 (15.9, 21.9)","28.9 (25.4, 32.5)","< 0.0001"
" No current MBDD","10.6 (7.9, 13.7)","37.9 (32.3, 43.6)","9.9 (6.8, 13.8)","41.7 (36.2, 47.4)",""